GSA;COUNTRY;STRATUM;CODE;SURF
1;ESP;11101;1;510
1;ESP;11102;2;2081
1;ESP;11103;3;1218
1;ESP;11104;4;3682
1;ESP;11105;5;5262
2;ESP;11106;1;0
2;ESP;11107;2;130
2;ESP;11108;3;132
2;ESP;11109;4;221
2;ESP;11110;5;350
3;MOR;11401;1;355
3;MOR;11402;2;444
3;MOR;11403;3;487
3;MOR;11404;4;3580
3;MOR;11405;5;1108
3;MOR;11406;1;878
3;MOR;11407;2;1098
3;MOR;11408;3;938
3;MOR;11409;4;3507
3;MOR;11410;5;1446
5;ESP;11502;2;1170
5;ESP;11503;3;1773
5;ESP;11504;4;1123
5;ESP;11505;5;2030
5;ESP;11507;2;2255
5;ESP;11508;3;1472
5;ESP;11509;4;1518
5;ESP;11510;5;1315
6;ESP;11201;1;1130
6;ESP;11202;2;4095
6;ESP;11203;3;3302
6;ESP;11204;4;4242
6;ESP;11205;5;3159
6;ESP;11301;1;1896
6;ESP;11302;2;7219
6;ESP;11303;3;3587
6;ESP;11304;4;2477
6;ESP;11305;5;1399
7;FRA;12101;1;1482
7;FRA;12102;2;3911
7;FRA;12103;3;819
7;FRA;12104;4;709
7;FRA;12105;5;660
7;FRA;12106;1;696
7;FRA;12107;2;2610
7;FRA;12108;3;1734
7;FRA;12109;4;653
7;FRA;12110;5;586
8;FRA;13101;1;0
8;FRA;13102;2;521
8;FRA;13103;3;234
8;FRA;13104;4;920
8;FRA;13105;5;867
8;FRA;13106;1;0
8;FRA;13107;2;524
8;FRA;13108;3;153
8;FRA;13109;4;383
8;FRA;13110;5;960
9;ITA;13201;1;657
9;ITA;13202;2;729
9;ITA;13203;3;658
9;ITA;13204;4;1737
9;ITA;13205;5;2093
9;ITA;13206;1;2053
9;ITA;13207;2;1598
9;ITA;13208;3;3186
9;ITA;13209;4;2449
9;ITA;13210;5;879
9;ITA;13211;1;945
9;ITA;13212;2;1506
9;ITA;13213;3;2732
9;ITA;13214;4;2828
9;ITA;13215;5;3071
9;ITA;13216;1;2107
9;ITA;13217;2;2159
9;ITA;13218;3;4302
9;ITA;13219;4;3573
9;ITA;13220;5;3148
10;ITA;13401;1;1194
10;ITA;13402;2;1224
10;ITA;13403;3;2095
10;ITA;13404;4;3238
10;ITA;13405;5;5248
10;ITA;13406;1;622
10;ITA;13407;2;1003
10;ITA;13408;3;1224
10;ITA;13409;4;1966
10;ITA;13410;5;2441
11;ITA;13301;1;822
11;ITA;13302;2;382
11;ITA;13303;3;351
11;ITA;13304;4;589
11;ITA;13305;5;502
11;ITA;13306;1;910
11;ITA;13307;2;1592
11;ITA;13308;3;839
11;ITA;13309;4;765
11;ITA;13310;5;855
11;ITA;13311;1;627
11;ITA;13312;2;796
11;ITA;13313;3;512
11;ITA;13314;4;500
11;ITA;13315;5;242
11;ITA;13316;1;431
11;ITA;13317;2;541
11;ITA;13318;3;896
11;ITA;13319;4;471
11;ITA;13320;5;335
11;ITA;13321;1;1096
11;ITA;13322;2;446
11;ITA;13323;3;927
11;ITA;13324;4;412
11;ITA;13325;5;260
11;ITA;13326;1;783
11;ITA;13327;2;987
11;ITA;13328;3;2335
11;ITA;13329;4;1620
11;ITA;13330;5;1041
11;ITA;13331;1;705
11;ITA;13332;2;350
11;ITA;13333;3;768
11;ITA;13334;4;1060
11;ITA;13335;5;1227
16;ITA;13411;1;3145
16;ITA;13412;2;6610
16;ITA;13413;3;9866
16;ITA;13414;4;13424
16;ITA;13415;5;15653
15;MAL;13501;1;152
15;MAL;13502;2;1473
15;MAL;13503;3;3076
15;MAL;13504;4;3353
15;MAL;13505;5;2526
17;ITA;21101;1;17300
17;ITA;21102;2;8200
17;ITA;21103;3;0
17;ITA;21104;4;0
17;ITA;21105;5;0
17;ITA;21106;1;4700
17;ITA;21107;2;10350
17;ITA;21108;3;14950
17;ITA;21109;4;3900
17;ITA;21110;5;950
17;SLO;21111;1;184
17;SLO;21112;2;0
17;SLO;21113;3;0
17;SLO;21114;4;0
17;SLO;21115;5;0
17;HRV;21116;1;7308
17;HRV;21117;2;14785
17;HRV;21118;3;7225
17;HRV;21119;4;2409
17;HRV;21120;5;0
18;ITA;22121;1;261
18;ITA;22122;2;509
18;ITA;22123;3;1348
18;ITA;22124;4;332
18;ITA;22125;5;860
18;ITA;22126;1;329
18;ITA;22127;2;599
18;ITA;22128;3;1809
18;ITA;22129;4;472
18;ITA;22130;5;350
18;ITA;22131;1;290
18;ITA;22132;2;689
18;ITA;22133;3;1214
18;ITA;22134;4;260
18;ITA;22135;5;336
18;ITA;22136;1;1702
18;ITA;22137;2;1307
18;ITA;22138;3;1407
18;ITA;22139;4;707
18;ITA;22140;5;492
18;ALB;22141;1;568
18;ALB;22142;2;2231
18;ALB;22143;3;2186
18;ALB;22144;4;1840
18;ALB;22145;5;1910
18;MON;22146;1;280
18;MON;22147;2;1100
18;MON;22148;3;1700
18;MON;22149;4;1150
18;MON;22150;5;770
19;ITA;22101;1;259
19;ITA;22102;2;224
19;ITA;22103;3;584
19;ITA;22104;4;1098
19;ITA;22105;5;1273
19;ITA;22106;1;306
19;ITA;22107;2;278
19;ITA;22108;3;258
19;ITA;22109;4;886
19;ITA;22110;5;989
19;ITA;22111;1;455
19;ITA;22112;2;305
19;ITA;22113;3;357
19;ITA;22114;4;972
19;ITA;22115;5;1032
19;ITA;22116;1;677
19;ITA;22117;2;524
19;ITA;22118;3;1009
19;ITA;22119;4;874
19;ITA;22120;5;1160
20;GRC;22201;1;2916
20;GRC;22202;2;4365
20;GRC;22203;3;2536
20;GRC;22204;4;3158
20;GRC;22205;5;3848
22+23;GRC;22301;1;2467
22+23;GRC;22302;2;587
22+23;GRC;22303;3;7143
22+23;GRC;22304;4;6074
22+23;GRC;22305;5;8645
22+23;GRC;22401;1;8645
22+23;GRC;22402;2;8489
22+23;GRC;22403;3;15823
22+23;GRC;22404;4;19774
22+23;GRC;22405;5;15426
22+23;GRC;22501;1;4918
22+23;GRC;22502;2;4090
22+23;GRC;22503;3;13269
22+23;GRC;22504;4;18100
22+23;GRC;22505;5;22224
25;CYP;32101;1;796
25;CYP;32102;2;717
25;CYP;32103;3;918
25;CYP;32104;4;2245
25;CYP;32105;5;6430
